date,open,high,low,close,volume,maturity,YTM,price change
12/06/2021,503119.0,506000.0,503119.0,505500.0,229005,20241202,28.211,0.001
12/07/2021,509980.0,509980.0,503444.0,505000.0,108486,20241202,28.257,-0.001
12/08/2021,506998.0,507701.0,504004.0,506500.0,205211,20241202,28.119,0.003
12/11/2021,504000.0,508000.0,504000.0,506000.0,128273,20241202,28.165,-0.001
12/12/2021,506000.0,507979.0,504000.0,504121.0,145964,20241202,28.339,-0.0037
12/13/2021,506493.0,507000.0,505050.0,506899.0,141527,20241202,28.082,0.0055
12/14/2021,505700.0,511500.0,505644.0,507000.0,204549,20241202,28.073,0.0002
12/15/2021,505777.0,507295.0,505777.0,506598.0,102668,20241202,28.11,-0.0008
12/18/2021,506500.0,506916.0,502000.0,502000.0,50542,20241202,28.536,-0.0091
12/19/2021,504264.0,506000.0,504264.0,505000.0,64227,20241202,28.257,0.006
12/20/2021,505175.0,506499.0,505175.0,505500.0,39295,20241202,28.211,0.001
12/21/2021,508860.0,508860.0,502811.0,502811.0,153189,20241202,28.461,-0.0053
12/22/2021,504130.0,509500.0,504130.0,509500.0,349119,20241202,27.844,0.0133
12/25/2021,510000.0,512000.0,507530.0,509300.0,184434,20241202,27.862,-0.0004
12/26/2021,508050.0,510990.0,508050.0,509560.0,46372,20241202,27.838,0.0005
12/27/2021,508030.0,510490.0,507890.0,510490.0,161636,20241202,27.753,0.0018
12/28/2021,508050.0,513900.0,508050.0,509880.0,36721,20241202,27.809,-0.0012
12/29/2021,513000.0,513000.0,511020.0,512200.0,21042,20241202,27.598,0.0046
01/01/2022,513800.0,517480.0,512680.0,514510.0,63605,20241202,27.389,0.0045
01/02/2022,514810.0,516900.0,514810.0,515510.0,232089,20241202,27.299,0.0019
01/03/2022,516000.0,519600.0,515200.0,519600.0,187681,20241202,26.933,0.0079
01/04/2022,521990.0,522000.0,518000.0,518100.0,173708,20241202,27.066,-0.0029
01/05/2022,523000.0,525000.0,522440.0,523350.0,103874,20241202,26.601,0.0101
01/08/2022,524270.0,529490.0,524270.0,526600.0,351285,20241202,26.315,0.0062
01/09/2022,527900.0,529960.0,526270.0,529010.0,70704,20241202,26.106,0.0046
01/10/2022,534930.0,534950.0,527710.0,529920.0,129007,20241202,26.027,0.0017
01/11/2022,534800.0,534800.0,527780.0,530010.0,220820,20241202,26.019,0.0002
01/12/2022,533990.0,533990.0,526900.0,530200.0,140698,20241202,26.002,0.0004
01/15/2022,533000.0,533000.0,530000.0,531180.0,75432,20241202,25.918,0.0018
01/16/2022,532060.0,533890.0,531050.0,533890.0,444641,20241202,25.684,0.0051
01/17/2022,533850.0,535900.0,532230.0,534600.0,456885,20241202,25.624,0.0013
01/18/2022,536490.0,536500.0,534500.0,534800.0,111810,20241202,25.607,0.0004
01/19/2022,530500.0,535900.0,530500.0,535900.0,27457,20241202,25.513,0.0021
01/22/2022,535310.0,536990.0,533900.0,534980.0,61391,20241202,25.591,-0.0017
01/23/2022,534910.0,536990.0,532510.0,535480.0,108425,20241202,25.548,0.0009
01/24/2022,535990.0,535990.0,531000.0,534960.0,257382,20241202,25.593,-0.001
01/25/2022,534910.0,535000.0,533500.0,535000.0,290682,20241202,25.589,0.0001
01/26/2022,534100.0,536980.0,533820.0,536000.0,192988,20241202,25.504,0.0019
01/29/2022,536200.0,538980.0,536200.0,538490.0,101641,20241202,25.292,0.0046
01/30/2022,536000.0,538400.0,532560.0,538400.0,186282,20241202,25.3,-0.0002
01/31/2022,537700.0,540000.0,536560.0,540000.0,125939,20241202,25.165,0.003
02/01/2022,538160.0,541980.0,538160.0,541980.0,44272,20241202,24.998,0.0037
02/02/2022,541520.0,543400.0,541500.0,543000.0,51330,20241202,24.912,0.0019
02/05/2022,543000.0,547990.0,543000.0,547500.0,146260,20241202,24.537,0.0083
02/06/2022,547500.0,549100.0,547100.0,549100.0,41345,20241202,24.405,0.0029
02/07/2022,549000.0,550700.0,549000.0,550700.0,117973,20241202,24.273,0.0029
02/08/2022,548570.0,551990.0,548570.0,550510.0,108880,20241202,24.289,-0.0003
02/09/2022,551800.0,552200.0,551800.0,552200.0,109495,20241202,24.15,0.0031
02/12/2022,554320.0,554320.0,551510.0,553000.0,159586,20241202,24.085,0.0014
02/13/2022,556000.0,556000.0,549050.0,549050.0,169931,20241202,24.409,-0.0071
02/14/2022,550750.0,552000.0,550750.0,552000.0,95208,20241202,24.166,0.0054
02/16/2022,550500.0,552900.0,550060.0,552790.0,190582,20241202,24.102,0.0014
02/19/2022,552390.0,554540.0,550610.0,553110.0,230138,20241202,24.076,0.0006
02/20/2022,550590.0,555000.0,550590.0,555000.0,304196,20241202,23.922,0.0034
02/21/2022,555800.0,556400.0,553120.0,556000.0,329855,20241202,23.84,0.0018
02/22/2022,554930.0,558400.0,554930.0,557380.0,390975,20241202,23.729,0.0025
02/23/2022,559000.0,559390.0,557500.0,559000.0,565110,20241202,23.598,0.0029
02/26/2022,557710.0,561990.0,557710.0,561980.0,183330,20241202,23.359,0.0053
02/27/2022,559010.0,561500.0,558560.0,561500.0,152407,20241202,23.397,-0.0009
