date,time,opne,high,low,close,vol,maturity
12/28/2021,130200,516000,516990,516000,516990,21834,20241111
12/28/2021,145100,517490,517490,517490,517490,1,20241111
12/29/2021,90000,518400,518840,516000,518840,40993,20241111
12/29/2021,102300,519990,519990,517680,517830,3477,20241111
12/29/2021,110200,519640,519640,518010,518190,3990,20241111
12/29/2021,120000,518190,519490,518190,519490,10166,20241111
12/29/2021,130400,518230,518230,518230,518230,754,20241111
12/29/2021,140200,519000,520890,519000,520890,32436,20241111
01/01/2022,90100,516220,521400,516220,519920,87150,20241111
01/01/2022,101200,519920,521000,519920,521000,109463,20241111
01/01/2022,110900,520500,521790,520010,521000,96768,20241111
01/01/2022,120800,521000,521000,520500,520500,25214,20241111
01/01/2022,130100,520990,521000,520980,521000,11848,20241111
01/01/2022,144500,521400,521730,521400,521730,7683,20241111
01/02/2022,90300,521000,522060,521000,521790,126206,20241111
01/02/2022,103000,521720,521720,521650,521650,55837,20241111
01/02/2022,110200,521700,521850,521700,521850,10261,20241111
01/02/2022,120500,522800,522970,522000,522970,15820,20241111
01/02/2022,130800,521710,522970,521660,521900,710,20241111
01/03/2022,90000,519940,522200,519940,522200,58419,20241111
01/03/2022,100800,522120,522200,522000,522010,29677,20241111
01/03/2022,111500,522020,526500,522010,523830,98474,20241111
01/03/2022,120000,523740,527890,523730,526120,8159,20241111
01/03/2022,131900,526120,526120,522010,523510,11137,20241111
01/04/2022,91100,525510,527870,524290,525000,49834,20241111
01/04/2022,100800,525410,526790,525400,525600,25618,20241111
01/04/2022,111600,525700,526000,525670,525700,39074,20241111
01/04/2022,120100,525700,527740,525700,527740,100963,20241111
01/04/2022,130100,527790,527890,526130,527650,69799,20241111
01/04/2022,143200,527020,527910,526320,526320,6455,20241111
01/05/2022,90200,527000,529900,527000,529900,144922,20241111
01/05/2022,100200,529900,532550,529300,529450,73929,20241111
01/05/2022,110000,531470,532450,529900,531430,33746,20241111
01/05/2022,120100,531380,531400,529950,530400,67252,20241111
01/05/2022,130700,531380,531380,530700,530730,2030,20241111
01/05/2022,140000,530730,531380,530730,531370,5182,20241111
01/08/2022,90000,534000,534000,531200,532510,105050,20241111
01/08/2022,100500,532510,533640,531840,532450,105135,20241111
01/08/2022,110100,532460,533650,532450,533000,85478,20241111
01/08/2022,120000,533000,533790,533000,533000,21208,20241111
01/08/2022,140400,533750,535000,532510,534990,25956,20241111
01/09/2022,90000,537960,537960,533000,533210,85266,20241111
01/09/2022,102100,533240,533820,533240,533820,39659,20241111
01/09/2022,110500,533820,537000,533810,535310,141319,20241111
01/09/2022,120800,534010,536190,534000,536190,53769,20241111
01/09/2022,130000,534360,536140,534120,536140,15100,20241111
01/09/2022,141800,535000,536100,534310,534310,24153,20241111
01/10/2022,90000,533570,535990,533570,534900,43381,20241111
01/10/2022,100000,534890,535000,534510,535000,42280,20241111
01/10/2022,110100,534610,535580,534500,534530,48279,20241111
01/10/2022,122700,534530,534530,532110,534510,8526,20241111
01/10/2022,130600,534510,534900,534510,534900,59,20241111
01/10/2022,140100,534540,537100,534500,537100,27097,20241111
01/11/2022,90700,537100,537100,534000,534000,19822,20241111
01/11/2022,100600,534510,535790,534500,534520,9767,20241111
01/11/2022,110500,534570,534570,534500,534540,29418,20241111
